"fips_code","county","date","total_outage"
12005,"Bay",2022-06-04,874
12005,"Bay",2022-06-05,421.75
12005,"Bay",2022-06-06,124
12005,"Bay",2022-06-07,165.5
12005,"Bay",2022-06-08,2413.25
12005,"Bay",2022-06-09,321.75
12005,"Bay",2022-06-10,126.25
12005,"Bay",2022-06-11,1080.5
12005,"Bay",2022-06-12,435
12005,"Bay",2022-06-13,40.25
12005,"Bay",2022-06-14,295
12005,"Bay",2022-06-15,541.75
12005,"Bay",2022-06-16,241.25
12005,"Bay",2022-06-17,815.75
12005,"Bay",2022-06-18,258.75
12005,"Bay",2022-06-19,1143.75
12005,"Bay",2022-06-20,1218.5
12005,"Bay",2022-06-21,7372
12005,"Bay",2022-06-22,273.25
12005,"Bay",2022-06-23,579.5
12005,"Bay",2022-06-24,2633.25
12005,"Bay",2022-06-25,579.75
12005,"Bay",2022-06-26,54.75
12005,"Bay",2022-06-27,88
12005,"Bay",2022-06-28,1131.25
12005,"Bay",2022-06-29,215.75
12005,"Bay",2022-06-30,1302.75
12005,"Bay",2022-07-01,856.75
12005,"Bay",2022-07-02,496
12005,"Bay",2022-07-03,12577
12005,"Bay",2022-07-04,100.75
12005,"Bay",2022-07-05,399.5
12005,"Bay",2022-07-06,619.25
12005,"Bay",2022-07-07,42
12005,"Bay",2022-07-08,480
12005,"Bay",2022-07-09,478.5
12005,"Bay",2022-07-10,2278.75
12005,"Bay",2022-07-11,62.5
12005,"Bay",2022-07-12,70.75
12005,"Bay",2022-07-13,45
12005,"Bay",2022-07-14,71.25
12005,"Bay",2022-07-15,167.75
12005,"Bay",2022-07-16,278.5
12005,"Bay",2022-07-17,44.75
12005,"Bay",2022-07-18,741.5
12005,"Bay",2022-07-19,1006.25
12005,"Bay",2022-07-20,1009.75
12005,"Bay",2022-07-21,72.25
12005,"Bay",2022-07-22,70.75
12005,"Bay",2022-07-23,697.75
12005,"Bay",2022-07-24,61
12005,"Bay",2022-07-25,233.5
12005,"Bay",2022-07-26,25.5
12005,"Bay",2022-07-27,283.25
12005,"Bay",2022-07-28,92
12005,"Bay",2022-07-29,234.75
12005,"Bay",2022-07-30,43.75
12005,"Bay",2022-07-31,243.5
12005,"Bay",2022-08-01,83.75
12005,"Bay",2022-08-02,394.5
12005,"Bay",2022-08-03,883
12005,"Bay",2022-08-04,90.5
12005,"Bay",2022-08-05,90.75
12005,"Bay",2022-08-06,2891
12005,"Bay",2022-08-07,810
12005,"Bay",2022-08-08,460.25
12005,"Bay",2022-08-09,56.75
12005,"Bay",2022-08-10,99.5
12005,"Bay",2022-08-11,396
12005,"Bay",2022-08-12,304.75
12005,"Bay",2022-08-13,5
12005,"Bay",2022-08-14,14.75
12005,"Bay",2022-08-15,503.25
12005,"Bay",2022-08-16,1086.25
12005,"Bay",2022-08-17,69.5
12005,"Bay",2022-08-18,4340.5
12005,"Bay",2022-08-19,98
12005,"Bay",2022-08-20,259.25
12005,"Bay",2022-08-21,1530.25
12005,"Bay",2022-08-22,413
12005,"Bay",2022-08-23,728.5
12005,"Bay",2022-08-24,179
12005,"Bay",2022-08-25,66
12005,"Bay",2022-08-26,327.25
12005,"Bay",2022-08-27,21.75
12005,"Bay",2022-08-28,103
12005,"Bay",2022-08-29,705.75
12005,"Bay",2022-08-30,132.25
12005,"Bay",2022-08-31,412.25
12005,"Bay",2022-09-01,1252.25
12005,"Bay",2022-09-02,348.75
12005,"Bay",2022-09-03,464
12005,"Bay",2022-09-04,152
12005,"Bay",2022-09-05,206.5
12005,"Bay",2022-09-06,53.25
12005,"Bay",2022-09-07,38.25
12005,"Bay",2022-09-08,424
12005,"Bay",2022-09-09,100.25
12005,"Bay",2022-09-10,132.5
12005,"Bay",2022-09-11,233.5
12005,"Bay",2022-09-12,138.75
12005,"Bay",2022-09-13,165.75
12005,"Bay",2022-09-14,16.5
12005,"Bay",2022-09-15,46.25
12005,"Bay",2022-09-16,14.25
12005,"Bay",2022-09-17,27.75
12005,"Bay",2022-09-18,34
